[2023-12-15 00:59:25.465] | DEBUG | services.sqs_services | process_job | sqs_services.py:50 | Making a POST call to the endpoint https://ah9x9uxtyc.execute-api.ap-south-1.amazonaws.com/default/autoflow_full_stack_assignment with job_id ab3f1a66-4b85-4a6a-b502-fc0a1caecb21
[2023-12-15 00:59:30.382] | DEBUG | services.sqs_services | process_job | sqs_services.py:89 | Updating job 981a30da-f102-41b4-b243-81ebca482e1a in the database
[2023-12-15 00:59:30.483] | DEBUG | __main__ | <module> | worker.py:32 | Deleting the job from queue with jobId 981a30da-f102-41b4-b243-81ebca482e1a
[2023-12-15 00:59:30.686] | DEBUG | __main__ | <module> | worker.py:38 | Number of messages in queue, 14
[2023-12-15 00:59:30.686] | DEBUG | __main__ | <module> | worker.py:24 | Received job with id 33d207f1-1fca-4bfe-9a53-d00b84876912
[2023-12-15 00:59:30.790] | DEBUG | services.sqs_services | process_job | sqs_services.py:50 | Making a POST call to the endpoint https://ah9x9uxtyc.execute-api.ap-south-1.amazonaws.com/default/autoflow_full_stack_assignment with job_id 33d207f1-1fca-4bfe-9a53-d00b84876912
[2023-12-15 00:59:31.097] | ERROR | services.sqs_services | process_job | sqs_services.py:62 | Job with id 33d207f1-1fca-4bfe-9a53-d00b84876912 failed with response 500
[2023-12-15 00:59:31.098] | DEBUG | services.sqs_services | process_job | sqs_services.py:66 | Retrying job with id 33d207f1-1fca-4bfe-9a53-d00b84876912, attempt number 2 which is less than max_attempts
[2023-12-15 00:59:31.202] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: 33d207f1-1fca-4bfe-9a53-d00b84876912
[2023-12-15 00:59:31.203] | DEBUG | services.sqs_services | process_job | sqs_services.py:89 | Updating job 33d207f1-1fca-4bfe-9a53-d00b84876912 in the database
[2023-12-15 00:59:31.303] | DEBUG | __main__ | <module> | worker.py:32 | Deleting the job from queue with jobId 33d207f1-1fca-4bfe-9a53-d00b84876912
[2023-12-15 00:59:31.506] | DEBUG | __main__ | <module> | worker.py:38 | Number of messages in queue, 17
[2023-12-15 00:59:31.507] | DEBUG | __main__ | <module> | worker.py:24 | Received job with id d719c28e-1fc9-42d5-97d7-ef67b382eaaf
[2023-12-15 00:59:31.609] | DEBUG | services.sqs_services | process_job | sqs_services.py:50 | Making a POST call to the endpoint https://ah9x9uxtyc.execute-api.ap-south-1.amazonaws.com/default/autoflow_full_stack_assignment with job_id d719c28e-1fc9-42d5-97d7-ef67b382eaaf
[2023-12-15 00:59:31.918] | DEBUG | services.sqs_services | process_job | sqs_services.py:58 | Job with id d719c28e-1fc9-42d5-97d7-ef67b382eaaf processed successfully with response 200
